id,won,time,strategies
36,False,0.03361678123474121,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscsssssscsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssrr
37,False,0.018580198287963867,ssscccccccsssssssssssssssssssssssssssssssssssssssssscccccccccr
38,False,0.06834077835083008,sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccccccccccccsssssssssssscccccccccsssssssssssssssssssssssscsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccsssssssssssssssssr
39,False,0.0020303726196289062,cr
40,False,0.06169939041137695,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscrrccccsssccccccsssssssssssssssr
41,False,0.0165708065032959,sssssssccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccssssr
42,False,0.03515172004699707,ssssssssssssccccccssssssscccccsssssssccccccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccrrsssr
43,False,0.0265042781829834,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccrcccssrsssr
44,False,0.012150764465332031,ssssccrrr
45,False,0.0190432071685791,sssssssssscccccccccrr
46,False,0.023978471755981445,cccccccccccsssssrr
47,True,0.05594182014465332,sssssssssssssssssssssssssssssssssssssssscccccccccccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccccssssssssssssssssssssssssssssssssssssssssssr
48,False,0.009968042373657227,rrr
49,False,0.01222085952758789,ssssssssssssssssscccccccsssssrr
50,False,0.0531926155090332,ssssssscccccccccccssssssssssssssssssssssssssssssssssssssscccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccccsssssssssssssssssssssssssssssssssssssssrr
51,False,0.02011561393737793,sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccssr
52,False,0.05196356773376465,ssssssssssssssssssssssssssssssssssssssssscccccssssssssssscsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccssssssssssccccrrr
53,False,0.021643638610839844,sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssrcrr
54,False,0.04844212532043457,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccccssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccssssssssssssssssccccccccccccsssssssssssssssssssssssccccccsssrr
55,True,0.034330129623413086,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscrssssssss
56,False,0.0348970890045166,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccccccccsssssssssssssssscccccssssssr
57,False,0.007338285446166992,sssssssssscccccscccssssssssssscr
58,False,0.030487060546875,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccccccccccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccsssssr
59,False,0.11894631385803223,sssssssscccccssssssssssssssssssssssssssssscccrrrrrcccsssssssscr
60,False,0.04553341865539551,rrsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccsssssssssssssccrcccr
61,False,0.030591249465942383,sssssssssssssssssssssccccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccsssscccrr
62,True,0.04697012901306152,sssssssssssssssssssssssssssssssssssssssssssssccccccccccssssssssssssssssssscccccccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssscccccccsssssssssrsssrsssr
63,False,0.032294511795043945,ccccccsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssccccccsssssssssssssscccccccccccsssccccccccsssscr
64,False,0.0025441646575927734,sssssscccr
